Tipologia;Id;Brand;Modello;Allestimento;Segmentazione;Segmentazione descrizione;Prezzo;Anticipo 1;Durata 1;Km 1;Canone 1;Anticipo 2;Durata 2;Km 2;Canone 2;Anticipo 3;Durata 3;Km 3;Canone 3;Anticipo 4;Durata 4;Km 4;Canone 4;Anticipo 5;Durata 5;Km 5;Canone 5;Anticipo 6;Durata 6;Km 6;Canone 6;Anticipo 7;Durata 7;Km 7;Canone 7;Anticipo 8;Durata 8;Km 8;Canone 8;Optional;Alimentazione;Cilindrata Effettiva;Cilindrata;Pacchetto (Tipo Eletta, Sport);Model Year;Peso;Portata;Tipo Veicolo;Emissioni C02;Trazione;Consumo Combinato;Porte;Posti;Cambio;Potenza Massima KW;Potenza Massima CV;Cavalli Fiscali;Corpo Veicolo;Codice Ruote Anteriori;Codice Ruote Posteriori;Stock;Usato;Da Ordine;Pronta Consegna;Delivery;Data di Registrazione;Kilometraggio;Link al player;Immagine Copertina
Auto;-;AUDI;Q2;AUDI Q2 1.0 30 TFSI BUSINESS Sport Utility Vehicle 5-Door (Euro 6D);CSP;-;25956;zero;48;40000;430;zero;48;120000;530;zero;60;50000;410;zero;60;150000;490;3890;48;40000;350;3890;48;120000;450;3890;60;50000;350;3890;60;150000;420;-;Diesel;999 Cm3;999 L;1.0 30 TFSI BUSINESS;2025;1325 Kg;490 Kg;Manufacturer Vehicle;0 G/Km;Front;5.7 Litri Per 100km;5-Door;5;MAN6;85 KW;116 CV;12;Sport Utility Vehicle;215/60 C16 95V;215/60 C16 95V;no;no;si;-;-;-;-;-;https://www.nolecar.com/immaginiutente/automobili//700/700_M_126_al.jpg
Auto;-;AUDI;Q3 SPORTBACK;AUDI Q3 SPORTBACK 35 TFSI Business Plus Sport Utility Vehicle 5-Door (Euro 6D);DSP;Compact - Suv/Cross Over - Premium;37145;zero;48;40000;630;zero;48;120000;770;zero;60;50000;600;zero;60;150000;710;5570;48;40000;510;5570;48;120000;650;5570;60;50000;500;5570;60;150000;620;-;Diesel;1498 Cm3;1498 L;35 TFSI Business Plus;2025;1525 Kg;520 Kg;Manufacturer Vehicle;0 G/Km;Front;6.6 Litri Per 100km;5-Door;5;MAN6;110 KW;150 CV;16;Sport Utility Vehicle;235/55 C18 100V;235/55 C18 100V;no;no;si;-;-;-;-;-;https://www.nolecar.com/immaginiutente/automobili//700/700_M_471_al.png
Auto;-;AUDI;Q3 SPORTBACK;AUDI Q3 SPORTBACK 35 TFSI Business Plus Sport Utility Vehicle 5-Door (Euro 6D);DSP;-;37145;zero;48;40000;620;zero;48;120000;760;zero;60;50000;590;zero;60;150000;710;5570;48;40000;500;5570;48;120000;650;5570;60;50000;500;5570;60;150000;620;-;Diesel;1498 Cm3;1498 L;35 TFSI Business Plus;2025;1525 Kg;520 Kg;Manufacturer Vehicle;0 G/Km;Front;6.6 Litri Per 100km;5-Door;5;MAN6;110 KW;150 CV;16;Sport Utility Vehicle;235/55 C18 100V;235/55 C18 100V;no;no;si;-;-;-;-;-;https://www.nolecar.com/immaginiutente/automobili//700/700_M_471_al.png
Auto;40330778;AUDI;Q4 E-TRON;AUDI Q4 E-TRON 40 e-tron S line edition Sport utility vehicle 5-door;DSP;Compact - Suv/Cross Over - Premium;47842;zero;48;40000;810;zero;48;120000;880;zero;60;50000;740;zero;60;150000;800;7180;48;40000;660;7180;48;120000;730;7180;60;50000;620;7180;60;150000;680;"Cavo Tipo E/F Per Ricarica Domestica (8 A/230 V) - Lunghezza 1,6, Cerchi In Lega Di Alluminio Audi Sport Da 21"" Design A 5 Razze A W A Stella, Grigio Platino8,5J, Connettore Industriale Blu (32 A/230 V) - Angolata 0,9 Metri, Pompa Di Calore, Sistema Di Ricarica E-Tron Compact, Vetri Posteriori E Lunotto Oscurati";Electric;1 Cm3;1 L;40 E-Tron S Line Edition;2022;2125 Kg;515 Kg;Manufacturer Vehicle;0 G/Km;Rear;0 Litri Per 100km;5-Door;5;AUT;150 KW;204 CV;0;Sport Utility Vehicle;235/50 C20 100T;235/50 C20 100T;no;si;no;-;-;07/03/2023;7310;https://auto.nextlane.com/public/player/992af1d948b533765d1eeeb88e78d84b4e2ae334526ad3d2c9eb4229116552fb6c748c72eae2c09960b136af42fcd942a57f9dd3f503777df210c0510679c307;https://s3.stampyt.io/prod/customer/media/70a5013f-3584-438e-95a8-fd140756241c/7ed62769-14cc-4fb6-a83f-b36df80a003c.jpg
Auto;40285943;AUDI;Q4 SPORTBACK E-TRON;AUDI Q4 SPORTBACK E-TRON 40 e-tron S line edition Sport utility vehicle 5-door;DSP;Compact - Suv/Cross Over - Premium;48866;zero;48;40000;660;zero;48;120000;730;zero;60;50000;610;zero;60;150000;670;7330;48;40000;510;7330;48;120000;580;7330;60;50000;490;7330;60;150000;550;Cavo Tipo E/F Per Ricarica Domestica (8 A/230 V) - Lunghezza 1,6, Connettore Industriale Blu (32 A/230 V) - Angolata 0,9 Metri, Pacchetto Smartphone Senza Audi Phone Box, Sistema Di Ricarica E-Tron Compact, Vetri Posteriori E Lunotto Oscurati;Electric;1 Cm3;1 L;40 E-Tron S Line Edition;2022;2120 Kg;505 Kg;Manufacturer Vehicle;0 G/Km;Rear;0 Litri Per 100km;5-Door;5;AUT;150 KW;204 CV;0;Sport Utility Vehicle;235/50 C20 100T;235/50 C20 100T;no;si;no;-;-;17/01/2023;46689;https://auto.nextlane.com/public/player/5e2cf222eb2988873c73e94c2d77c09512fe6f033c47ad7aab99a4bb60d804dcd613fb42e2a8630e05c41f2e45c0fff3510b937846ae182d6d261b345729d75a;https://s3.stampyt.io/prod/customer/media/85c9773d-1c20-4b24-b81e-1455257754bf/2272f3d9-e62b-4d61-87d9-230a18785bb1.jpg
Auto;40345239;AUDI;Q5 SPORTBACK;AUDI Q5 SPORTBACK 40 TDI Busin. Advanced quattro S tronic Sport utility vehicle 5-door;FSP;Middle - Suv/Cross Over - Premium;51858;zero;48;40000;950;zero;48;120000;1040;zero;60;50000;880;zero;60;150000;960;7780;48;40000;790;7780;48;120000;880;7780;60;50000;750;7780;60;150000;830;Audi Pre Sense Basic, Colore Carrozzeria Metallizzato, Pacchetto Assistenza City, Ruota Di Scorta Ripiegabile Con Compressore, Telecamera Per Retromarcia Posteriore, Vetri Laterali Posteriori E Lunotto Oscurati;Diesel - Electric;1968 Cm3;1968 L;40 TDI Busin. Advanced Quattro S Tronic;2023;1900 Kg;595 Kg;Manufacturer Vehicle;140 G/Km;4WD;6.3 Litri Per 100km;5-Door;5;AUT7;150 KW;204 CV;20;Sport Utility Vehicle;235/60 C18 103W;235/60 C18 103W;no;si;no;-;-;07/06/2023;52961;https://auto.nextlane.com/public/player/6420075aef2d19cebdd55f314e206318cf74a6ccb31911bfd305c01c066b9203b197f95a452dcafe57462ef2778de6bbb8f28335a5fcd91e363b9391a4cc5069;https://s3.stampyt.io/prod/customer/media/e56b0c65-695b-40fa-bcd6-49e81a9f9e2c/8e8cd7bb-73ec-452f-a8bd-d3c48d1e7a37.jpg
Auto;40330659;AUDI;Q5 SPORTBACK;AUDI Q5 SPORTBACK 40 TDI S Line quattro S tronic Sport utility vehicle 5-door (Euro 6D) mild hybrid;FSP;Middle - Suv/Cross Over - Premium;52678;zero;48;40000;810;zero;48;120000;910;zero;60;50000;780;zero;60;150000;860;7900;48;40000;650;7900;48;120000;740;7900;60;50000;650;7900;60;150000;720;Audi Active Lane Assist Con Riconoscimento Segnali Stradali, Combinazione Obbligatoria Per S Line/S Line Plus, Ruota Di Scorta Ripiegabile Con Compressore, Telecamera Per Retromarcia Posteriore, Vetri Laterali Posteriori E Lunotto Oscurati;Diesel;1968 Cm3;1968 L;40 TDI S Line Quattro S Tronic;2022;1900 Kg;595 Kg;Manufacturer Vehicle;140 G/Km;4WD;6.5 Litri Per 100km;5-Door;5;AUT7;150 KW;204 CV;20;Sport Utility Vehicle;235/55 C19 101W;235/55 C19 101W;no;si;no;-;-;24/01/2023;55867;https://auto.nextlane.com/public/player/e0787b9629e740fbf9bb258c831a2533859a0b752cab4ddf13c6a8813eeb1527f57f40afaeb4723aae71a120f6710713f957b0485dfb6511e3772ba8445f0ca0;https://s3.stampyt.io/prod/customer/media/5214bf1d-9e5c-4aeb-8dea-d4dbc06c1b8b/e22efbff-725e-4922-ba05-d694f176ee86.jpg
Auto;40296766;AUDI;Q5 SPORTBACK;AUDI Q5 SPORTBACK 50 TFSI e Busin. Advan. quattro S tronic Sport utility vehicle 5-door (Euro 6D);FSP;Middle - Suv/Cross Over - Premium;54030;zero;48;40000;1010;zero;48;120000;1110;zero;60;50000;920;zero;60;150000;1010;8100;48;40000;840;8100;48;120000;940;8100;60;50000;780;8100;60;150000;880;Cavo Di Ricarica Pubblico (Mode 3), Colore Carrozzeria Metallizzato, Senza Audi Phone Box Light, Supporto Lombare Con Regolazione Pneumatica E Funzione Massaggio, Telecamera Per Retromarcia Posteriore, Vetri Laterali Posteriori E Lunotto Oscurati;Unleaded - Electric;1984 Cm3;1984 L;50 TFSI E Busin. Advan. Quattro S Tronic;2022;2150 Kg;510 Kg;Manufacturer Vehicle;0 G/Km;4WD;1.5 Litri Per 100km;5-Door;5;AUT7;220 KW;299 CV;20;Sport Utility Vehicle;235/60 C18 103W;235/60 C18 103W;no;si;no;-;-;07/12/2023;15145;https://auto.nextlane.com/public/player/6ae3c059065892e33c075b6b03457ade320b1122958be646e2e84cdc62e501c0f25df60fb5b435d15b8d76434ffc57d2f09ee16dbb2208a2f6e1e623a1245ee9;https://s3.stampyt.io/prod/customer/media/07462c9e-0aff-476b-9f3e-d9c45f680615/1c1a83e5-7565-4e09-8e98-19521e646a22.jpg
Auto;-;AUDI;Q5 SPORTBACK;AUDI Q5 SPORTBACK TFSI 150kW S Tronic Business Advanced Sport Utility Vehicle 5-Door (Euro 6E);FSP;-;55751;zero;48;40000;930;zero;48;120000;1100;zero;60;50000;870;zero;60;150000;1010;8360;48;40000;760;8360;48;120000;930;8360;60;50000;730;8360;60;150000;870;-;Diesel - Electric;1984 Cm3;1984 L;TFSI 150kW S Tronic Business Advanced;2025;1925 Kg;535 Kg;Manufacturer Vehicle;0 G/Km;Front;6.6 Litri Per 100km;5-Door;5;AUT7;150 KW;204 CV;20;Sport Utility Vehicle;235/60 C18 107W;235/60 C18 107W;no;no;si;-;-;-;-;-;https://s3.stampyt.io/prod/customer/media/07462c9e-0aff-476b-9f3e-d9c45f680615/1c1a83e5-7565-4e09-8e98-19521e646a22.jpg
Auto;-;AUDI;Q5 SPORTBACK;AUDI Q5 SPORTBACK TFSI 150kW S Tronic Business Advanced Sport Utility Vehicle 5-Door (Euro 6E);FSP;-;55751;zero;48;40000;980;zero;48;120000;1150;zero;60;50000;920;zero;60;150000;1060;8360;48;40000;810;8360;48;120000;810;8360;60;50000;780;8360;60;150000;920;-;Unleaded - Electric;1984 Cm3;1984 L;TFSI 150kW S Tronic Business Advanced;2025;1925 Kg;535 Kg;Manufacturer Vehicle;0 G/Km;Front;6.6 Litri Per 100km;5-Door;5;AUT7;150 KW;204 CV;20;Sport Utility Vehicle;235/60 C18 107W;235/60 C18 107W;no;no;si;-;-;-;-;-;https://s3.stampyt.io/prod/customer/media/07462c9e-0aff-476b-9f3e-d9c45f680615/1c1a83e5-7565-4e09-8e98-19521e646a22.jpg
Auto;-;AUDI;Q5;AUDI Q5 TFSI 150kW S Tronic Business Sport Utility Vehicle 5-Door (Euro 6E);BSP;-;51161;zero;48;40000;820;zero;48;120000;990;zero;60;50000;770;zero;60;150000;910;7670;48;40000;660;7670;48;120000;830;7670;60;50000;640;7670;60;150000;780;-;Diesel - Electric;1984 Cm3;1984 L;TFSI 150kW S Tronic Business;2025;1910 Kg;550 Kg;Manufacturer Vehicle;0 G/Km;Front;6.5 Litri Per 100km;5-Door;5;AUT7;150 KW;204 CV;20;Sport Utility Vehicle;235/60 C18 107W;235/60 C18 107W;no;no;si;-;-;-;-;-;https://www.nolecar.com/immaginiutente/automobili//700/700_M_124_al.jpg
Auto;40324946;BMW;I4;BMW I4 eDrive 40 M Sport Hatchback 5-door;FBP;Middle - Hatchback/Sedan - Premium;53336;zero;48;40000;1040;zero;48;120000;1120;zero;60;50000;940;zero;60;150000;1010;8000;48;40000;880;8000;48;120000;960;8000;60;50000;810;8000;60;150000;880;Active Cruise Control Con Funzione Stop&Go, Antifurto Con Telecomando, BMW CAR CARE EQUIPMENT (OBBLIGATORIO PER NLT Dal 01.07.2020), BMW Laserlight, Comfort Access System, Driving Assistant, Eliminazione Funzione Sedile Passegger, High-Beam Assistant, Pacchetto Comfort, Pacchetto Innovation, Regolazione Larghezza Schienale, Sedili Anteriori Riscaldabili, Supporto Lombare Elettrico;Electric;1 Cm3;1 L;EDrive 40 M Sport;2022;2125 Kg;480 Kg;Manufacturer Vehicle;0 G/Km;Rear;0 Litri Per 100km;5-Door;5;AUT;250 KW;340 CV;0;Hatchback;245/45 C18 100Y;245/45 C18 100Y;no;si;no;-;-;09/11/2023;20198;https://auto.nextlane.com/public/player/9f6429a7da98a74899fec4e852590dda767d501aa7941ae65c786ab9fbb7e7f5c08fba5a9e24631397878492868799bbd98c4c69efb85fc9a7a8c5ad720953dc;https://s3.stampyt.io/prod/customer/media/8a501440-95d6-4fee-95d6-2ccaab8dca57/5aeaf9d3-0585-4ae0-9808-77255c5849ad.jpg
Auto;-;BMW;R;BMW IX1 EDrive 20 Sport Utility Vehicle 5-Door;Moto Cilindrata > 800 cc;Moto/Scooter/Ciclomotore;38336;zero;48;40000;630;zero;48;120000;710;zero;60;50000;570;zero;60;150000;630;5750;48;40000;510;5750;48;120000;590;5750;60;50000;470;5750;60;150000;530;-;Petrol (unleaded);1 Cm3;1 L;EDrive 20;2025;1940 Kg;495 Kg;Manufacturer Vehicle;0 G/Km;Front;0 Litri Per 100km;5-Door;5;AUT;150 KW;204 CV;0;Sport Utility Vehicle;205/65 C17 96V;205/65 C17 96V;no;no;si;-;-;-;-;-;-
Auto;-;BMW;IX1;BMW IX1 EDrive 20 Sport Utility Vehicle 5-Door;DSP;Compact - Suv/Cross Over - Premium;38336;zero;48;40000;630;zero;48;120000;710;zero;60;50000;570;zero;60;150000;630;5750;48;40000;510;5750;48;120000;590;5750;60;50000;470;5750;60;150000;530;-;Electric;1 Cm3;1 L;EDrive 20;2025;1940 Kg;495 Kg;Manufacturer Vehicle;0 G/Km;Front;0 Litri Per 100km;5-Door;5;AUT;150 KW;204 CV;0;Sport Utility Vehicle;205/65 C17 96V;205/65 C17 96V;no;no;si;-;-;-;-;-;https://www.nolecar.com/immaginiutente/automobili//700/700_M_651_al.jpg
Auto;-;BMW;IX1;BMW IX1 EDrive 20 Sport Utility Vehicle 5-Door;DSP;Compact - Suv/Cross Over - Premium;38336;zero;48;40000;620;zero;48;120000;700;zero;60;50000;570;zero;60;150000;630;5750;48;40000;500;5750;48;120000;580;5750;60;50000;470;5750;60;150000;530;-;Electric;1 Cm3;1 L;EDrive 20;2025;1940 Kg;495 Kg;Manufacturer Vehicle;0 G/Km;Front;0 Litri Per 100km;5-Door;5;AUT;150 KW;204 CV;0;Sport Utility Vehicle;205/65 C17 96V;205/65 C17 96V;no;no;si;-;-;-;-;-;https://www.nolecar.com/immaginiutente/automobili//700/700_M_651_al.jpg
Auto;-;BMW;SERIE 1;BMW SERIE 1 116 Aut. Hatchback 5-Door (Euro 6E);DBP;Compact - Hatchback/Sedan - Premium;27680;zero;48;40000;530;zero;48;120000;650;zero;60;50000;500;zero;60;150000;600;4150;48;40000;450;4150;48;120000;560;4150;60;50000;430;4150;60;150000;530;-;Diesel;1499 Cm3;1499 L;116 Aut.;2025;1465 Kg;525 Kg;Manufacturer Vehicle;0 G/Km;Front;5.9 Litri Per 100km;5-Door;5;AUT7;90 KW;122 CV;16;Hatchback;205/55 C17 95Y;205/55 C17 95Y;no;no;si;-;-;-;-;-;https://s3.stampyt.io/prod/customer/media/b3e24dc1-97d1-4845-883a-11c15dab4d04/5ff2ae09-b55e-4251-9536-dd7db959ad89.jpg
Auto;40242192;BMW;SERIE 1;BMW SERIE 1 116d Sport Hatchback 5-door (Euro 6D);DBP;Compact - Hatchback/Sedan - Premium;26697;zero;48;40000;400;zero;48;120000;460;zero;60;50000;350;zero;60;150000;420;4000;48;40000;320;4000;48;120000;380;4000;60;50000;280;4000;60;150000;350;"**OBBLIGATORIO** Scelta Tipo Di Trasmissione, BMW CAR CARE EQUIPMENT (OBBLIGATORIO PER NLT Dal 01.07.2020), Cambio Automatico DCT A 7 Rapporti Con Doppia Frizione, Cerchi In Lega Leggera Da 18"", Styling A Doppi Raggi N° 488 Bicolore, Eliminazione Scritta Modello, Volante Sportivo M Con Comandi Multifunzione";Diesel;1496 Cm3;1496 L;116d Sport;2021;1450 Kg;475 Kg;Manufacturer Vehicle;100 G/Km;Front;3.9 Litri Per 100km;5-Door;5;MAN6;85 KW;116 CV;16;Hatchback;225/45 C17 94Y;225/45 C17 94Y;no;si;no;-;-;14/12/2020;78707;https://auto.nextlane.com/public/player/7dd1ccf8f5db9764f7680158e9b024ae9af102bc40283d56d1d8db7513acf93bb5999620191bf94f1bce98045ddeb1f7f99ac127a14f01d2c2c215226448792e;https://s3.stampyt.io/prod/customer/media/b3e24dc1-97d1-4845-883a-11c15dab4d04/5ff2ae09-b55e-4251-9536-dd7db959ad89.jpg
Auto;-;BMW;SERIE 2;BMW SERIE 2 218i MSport Auto Coupé 2-Door (Euro 6E);DMP;-;36697;zero;48;40000;690;zero;48;120000;810;zero;60;50000;640;zero;60;150000;740;5500;48;40000;570;5500;48;120000;700;5500;60;50000;550;5500;60;150000;650;-;Diesel;1998 Cm3;1998 L;218i MSport Auto;2025;1560 Kg;400 Kg;Manufacturer Vehicle;0 G/Km;Rear;6.5 Litri Per 100km;2-Door;4;AUT8;115 KW;156 CV;20;Coupé;225/45 C18 95Y;225/45 C18 95Y;no;no;si;-;-;-;-;-;-
